epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.5538,1.33811,3.2411,1.21368,0.00333,1,0.96833,0.70271,1.07218,2.84063,0.86728,0.00012,0.00012,0.00012
2,124.626,1.10014,1.91176,1.01927,1,0.96762,0.995,0.57598,1.22184,2.41305,0.85442,0.000254852,0.000254852,0.000254852
3,195.026,1.05768,1.38704,0.98331,0.00333,1,0.98929,0.60275,1.22153,2.62871,0.85062,0.00038416,0.00038416,0.00038416
4,252.021,0.9992,1.34017,1.00034,0.97829,1,0.995,0.67491,1.18441,2.5864,0.86318,0.000507924,0.000507924,0.000507924
5,316.368,1.04505,1.71344,1.01393,0.01871,1,0.995,0.56263,1.21573,2.71554,0.86845,0.000626144,0.000626144,0.000626144
6,379.231,1.00377,1.21865,0.9901,0.00409,1,0.53887,0.377,1.21378,3.0293,0.93119,0.00073882,0.00073882,0.00073882
7,440.2,0.90275,1.30432,0.98434,0.00333,1,0.02666,0.01389,1.23759,3.36662,1.04763,0.000845952,0.000845952,0.000845952
8,498.142,1.0239,1.23437,0.99084,0.00333,1,0.01274,0.00734,1.21952,3.46557,1.08283,0.00094754,0.00094754,0.00094754
9,560.607,0.90446,1.11359,0.98415,0.01974,0.125,0.01518,0.00967,1.42958,4.05637,1.10002,0.00104358,0.00104358,0.00104358
10,635.903,0.8777,1.11231,0.96517,0.87282,0.375,0.60248,0.39577,1.24584,2.94316,0.93571,0.00113408,0.00113408,0.00113408
11,701.521,0.94039,1.06291,0.97231,1,0.75174,0.9934,0.66536,1.20569,2.18148,0.86447,0.00121904,0.00121904,0.00121904
12,770.099,0.94411,1.10967,0.99027,0.85669,0.99647,0.86848,0.57136,1.21408,2.05212,0.93588,0.00129845,0.00129845,0.00129845
13,837.937,0.90685,1.12679,0.98401,0.9207,1,0.9934,0.67819,1.19026,1.90476,0.92893,0.00137232,0.00137232,0.00137232
