epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,432.275,1.09441,2.22178,1.10877,0.89747,0.90948,0.92815,0.64426,1.18227,1.79017,1.07212,0.00036,0.00036,0.00036
2,888.226,0.90035,0.96534,0.98786,0.91198,0.92208,0.939,0.52665,1.31969,2.78814,1.17842,0.000732674,0.000732674,0.000732674
3,1350.94,0.93512,0.81888,1.00169,0.72304,0.90909,0.91755,0.60847,1.16836,3.19667,1.16074,0.00109782,0.00109782,0.00109782
4,1865.24,0.94241,0.72566,1.0196,0.19,0.66234,0.24168,0.12792,1.5976,11.2857,1.75022,0.00145545,0.00145545,0.00145545
5,2383.88,0.94911,0.74777,1.03148,0.37947,0.23377,0.20896,0.10378,2.03347,2.4951,1.92166,0.00180555,0.00180555,0.00180555
6,2928.45,0.92116,0.70694,1.00089,0.0705,0.55844,0.14437,0.06635,2.19123,32.6963,3.0685,0.001901,0.001901,0.001901
7,3433.86,0.9211,0.67535,0.99243,0.14898,0.49351,0.10375,0.02822,2.97028,3.44248,2.3476,0.0018812,0.0018812,0.0018812
8,3968.3,0.92655,0.64636,1.02569,0.80249,0.58442,0.64106,0.38911,1.9536,1.68822,1.84883,0.0018614,0.0018614,0.0018614
9,4505.96,0.89376,0.61502,0.99396,0.78719,0.76623,0.82728,0.53482,1.36857,1.5262,1.32043,0.0018416,0.0018416,0.0018416
10,5047.44,0.87659,0.59604,1.00795,0.86863,0.63636,0.80099,0.55412,1.27992,1.98174,1.15735,0.0018218,0.0018218,0.0018218
11,5627.08,0.84503,0.58578,0.98467,0.90166,0.88312,0.91979,0.59241,1.37089,1.38533,1.24078,0.001802,0.001802,0.001802
12,6206.75,0.83643,0.57741,0.97855,0.82711,0.62338,0.70591,0.43344,1.39784,1.43342,1.23275,0.0017822,0.0017822,0.0017822
13,6746.56,0.84021,0.55103,0.96223,0.90639,0.8961,0.95201,0.64393,1.18003,0.80198,1.14403,0.0017624,0.0017624,0.0017624
14,7252.93,0.81792,0.5199,0.98593,0.80864,0.82323,0.89809,0.60675,1.26888,0.86634,1.23683,0.0017426,0.0017426,0.0017426
15,7716.8,0.79531,0.51972,0.96114,0.89524,0.8879,0.93571,0.62442,1.23542,0.79963,1.24128,0.0017228,0.0017228,0.0017228
16,8203.46,0.83431,0.53628,0.97098,0.96163,0.96104,0.98245,0.70624,1.11897,0.68832,1.07308,0.001703,0.001703,0.001703
17,8743.33,0.80776,0.51854,0.96127,0.93776,0.96104,0.97781,0.70221,1.14701,0.73998,1.15051,0.0016832,0.0016832,0.0016832
18,9284.65,0.78809,0.50279,0.95314,0.94676,0.9238,0.95144,0.62569,1.32979,0.78343,1.15453,0.0016634,0.0016634,0.0016634
19,9816.93,0.79791,0.51129,0.95924,0.95833,0.8961,0.96388,0.67795,1.18359,0.84,1.12921,0.0016436,0.0016436,0.0016436
20,10336.1,0.79834,0.52934,0.9811,0.98286,0.94805,0.97331,0.69357,1.15949,0.63491,1.06203,0.0016238,0.0016238,0.0016238
21,10816.8,0.76554,0.48438,0.95195,0.97355,0.95595,0.9732,0.68494,1.19313,0.64035,1.12632,0.001604,0.001604,0.001604
22,11320,0.76783,0.4702,0.95843,0.97152,0.96104,0.96856,0.68179,1.18559,0.60554,1.14264,0.0015842,0.0015842,0.0015842
23,11848.2,0.74361,0.46699,0.95114,0.9865,0.94874,0.97551,0.72636,1.06616,0.5829,1.06367,0.0015644,0.0015644,0.0015644
24,12346.5,0.74003,0.47318,0.93987,0.98643,0.94434,0.98038,0.70996,1.12011,0.60959,1.07909,0.0015446,0.0015446,0.0015446
25,12841.1,0.75677,0.46875,0.95395,0.98184,0.96104,0.97715,0.65601,1.16829,0.61792,1.12952,0.0015248,0.0015248,0.0015248
26,13379.3,0.7505,0.46983,0.93529,0.9471,0.96104,0.96678,0.68833,1.14139,0.56202,1.14704,0.001505,0.001505,0.001505
27,19720.4,0.75465,0.46839,0.93912,0.96774,0.97403,0.97566,0.69758,1.17203,0.66712,1.17289,0.0014852,0.0014852,0.0014852
28,39568.7,0.74813,0.46432,0.94614,0.97388,0.96849,0.98399,0.71104,1.13413,0.6109,1.11952,0.0014654,0.0014654,0.0014654
29,40604.3,0.74194,0.45293,0.93862,0.98046,0.97403,0.97868,0.69023,1.1719,0.55408,1.13708,0.0014456,0.0014456,0.0014456
30,41088.5,0.75773,0.45825,0.9444,0.94776,0.96104,0.97688,0.69044,1.14515,0.60366,1.11313,0.0014258,0.0014258,0.0014258
31,41548.3,0.75669,0.45941,0.94397,0.9849,0.96104,0.97869,0.70071,1.14798,0.52163,1.13325,0.001406,0.001406,0.001406
32,42003.4,0.7456,0.44517,0.93692,0.98556,0.97403,0.98454,0.71685,1.18184,0.54399,1.09901,0.0013862,0.0013862,0.0013862
33,42510.3,0.72936,0.43918,0.93603,0.94819,0.98701,0.98714,0.73505,1.13439,0.52442,1.06725,0.0013664,0.0013664,0.0013664
34,43156.9,0.71048,0.42742,0.91826,0.98174,0.94805,0.98364,0.72765,1.13452,0.53682,1.03902,0.0013466,0.0013466,0.0013466
35,43789.2,0.70514,0.41898,0.92782,0.98621,0.93506,0.9803,0.70744,1.11048,0.55086,1.03948,0.0013268,0.0013268,0.0013268
36,44599.9,0.71446,0.4168,0.93659,0.96057,0.97403,0.9751,0.68963,1.12696,0.54968,1.06752,0.001307,0.001307,0.001307
37,45086.2,0.66812,0.40394,0.90091,0.9716,0.97403,0.98371,0.69079,1.14098,0.53816,1.05091,0.0012872,0.0012872,0.0012872
38,45593.7,0.67587,0.40005,0.91357,0.98651,0.94963,0.98899,0.71417,1.10682,0.49215,1.05765,0.0012674,0.0012674,0.0012674
39,46083.2,0.68631,0.40473,0.92569,0.95653,0.94805,0.97769,0.68376,1.16115,0.56538,1.1047,0.0012476,0.0012476,0.0012476
40,46832.9,0.67699,0.40196,0.91179,0.98392,0.96104,0.97951,0.70891,1.11425,0.55028,1.08152,0.0012278,0.0012278,0.0012278
41,47333,0.68282,0.39214,0.92192,0.95859,0.96104,0.98309,0.72492,1.04943,0.56447,1.01159,0.001208,0.001208,0.001208
42,47868.6,0.66758,0.39577,0.91217,0.98663,0.95866,0.9828,0.72825,1.11544,0.55317,1.09408,0.0011882,0.0011882,0.0011882
43,48376.3,0.67708,0.4005,0.90976,0.98183,0.97403,0.98521,0.71213,1.13629,0.54062,1.13712,0.0011684,0.0011684,0.0011684
44,48930.4,0.66139,0.39553,0.90831,0.98339,0.97403,0.98762,0.73274,1.1037,0.51422,1.07585,0.0011486,0.0011486,0.0011486
45,49374.8,0.67113,0.40193,0.90332,0.96928,0.97403,0.98874,0.73339,1.0822,0.4844,1.05715,0.0011288,0.0011288,0.0011288
46,49848,0.66899,0.39496,0.90671,0.99419,0.97403,0.98865,0.7328,1.10528,0.4862,1.0431,0.001109,0.001109,0.001109
47,50339.4,0.66795,0.39302,0.91238,0.98118,0.97403,0.98821,0.7267,1.12529,0.50778,1.05945,0.0010892,0.0010892,0.0010892
