frame,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y,plant_foot_x,plant_foot_y,ball_pos_x,ball_pos_y,knee_angle,plant_foot_distance
0,539.6111869812012,388.2151222229004,386.12709045410156,488.69534969329834,232.64299392700195,589.1755771636963,612.1512222290039,393.1627678871155,754.0350151062012,548.1392598152161,796.9851493835449,785.6894016265869,756.0,816.0,179.9995583059987,6.838194254936037
1,539.5075607299805,385.17089009284973,386.2029504776001,490.36024510860443,232.89834022521973,595.5496001243591,610.8976936340332,389.97923254966736,753.9268112182617,546.611430644989,796.5913581848145,785.7286691665649,756.0,816.0,179.99956418053992,6.792643860678666
2,539.4079399108887,383.0157780647278,386.2427043914795,490.8940100669861,233.0774688720703,598.7722420692444,610.1969718933105,387.90629267692566,753.7933731079102,545.3733444213867,796.3547515869141,785.6948733329773,756.0,816.0,179.99956748548396,6.769948248754629
3,539.4063949584961,381.26747131347656,387.42812633514404,492.21883893013,235.449857711792,603.1702065467834,609.7619819641113,385.8016812801361,753.746509552002,544.4088435173035,795.9367561340332,785.4053235054016,756.0,816.0,179.9995693848072,6.667435754770079
4,539.6578216552734,379.59911584854126,392.03577518463135,492.1465802192688,244.41372871398926,604.6940445899963,609.5536994934082,383.9064109325409,753.7899971008301,544.3626880645752,795.9970092773438,786.088707447052,756.0,816.0,179.99956349950827,6.699862675523126
5,541.0388374328613,379.0484690666199,547.9113006591797,603.9385628700256,250.80937385559082,606.8238258361816,609.7565460205078,383.5808765888214,754.5216178894043,544.7305798530579,795.9762382507324,786.4795804023743,756.0,814.0,88.80603336741746,6.510553454586769
6,544.551887512207,378.7546706199646,551.6152954101562,604.1417241096497,255.32898902893066,610.530424118042,611.667423248291,383.22206139564514,754.9780082702637,545.2193641662598,796.1056137084961,786.8015098571777,758.0,818.0,89.44024824479683,6.449166893875715
7,546.6570854187012,378.5295259952545,549.4878959655762,604.1897463798523,257.0112419128418,612.2312879562378,613.0969047546387,383.02929639816284,755.504322052002,545.559253692627,796.1698150634766,786.9765400886536,756.0,816.0,90.85621705245546,6.647997190973282
8,550.5100250244141,378.5942530632019,554.4774627685547,604.2929363250732,259.80677604675293,615.2994990348816,614.2461204528809,382.9667258262634,755.8171463012695,545.6769919395447,796.1404037475586,787.0517921447754,758.0,820.0,91.13205354790354,6.446657296697279
9,554.5046424865723,377.99185037612915,557.4220848083496,602.557053565979,263.11540603637695,621.5708470344543,615.6315994262695,382.76153683662415,756.7115020751953,545.8088278770447,796.2218856811523,787.0609331130981,756.0,816.0,92.95216106718566,6.6470421568875935
10,556.2534141540527,376.42433524131775,560.1176834106445,599.4157791137695,274.5046806335449,625.068941116333,616.2167358398438,382.3007869720459,758.3500099182129,545.9353852272034,796.2131309509277,787.1074104309082,760.0,818.0,94.13962286111966,6.088349176609133
11,558.9934730529785,375.9070658683777,570.5760383605957,597.9514217376709,282.63742446899414,632.8443646430969,617.0528984069824,382.2263717651367,759.1966438293457,545.9483242034912,796.1994552612305,787.1070885658264,758.0,818.0,93.92348928582435,6.35775431458345
